,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
77,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2020-09-29 20:00:51,2020-09-29 14:58:49,1.0,2.0,3.0,13.0,125.0,2020-09-29 20:00:51,0.2.0,,,1.0,An NLP-suite powered by deep learning.,,7,False,3,,,,,
78,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-01-30 15:29:24,2021-01-27 09:27:30,,,8.0,13.0,144.0,,,,,,Rust binding to crfsuite.,,7,False,3,,,-1.0,,
79,lumberjack,sebpuetz/lumberjack,nlp,https://github.com/sebpuetz/lumberjack,https://github.com/sebpuetz/lumberjack,Apache-2.0,2019-03-27 14:31:59,2020-05-05 12:29:29,2019-08-28 14:04:12,2.0,1.0,6.0,11.0,71.0,2019-05-27 12:20:25,0.3,,,2.0,Read and modify constituency trees in Rust.,2.0,7,False,3,,,,,
80,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,10.0,72.0,,,,,,Differentiable Rust Graphs (neural network library).,,7,False,3,,,,,
81,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,2020-10-07 17:49:05,2021-03-31 17:58:40,2021-03-31 17:58:37,,4.0,9.0,9.0,,2021-03-22 16:17:43,0.3.0,,,7.0,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",2.0,7,False,3,,,1.0,,
82,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-03-15 04:51:34,2020-10-08 09:13:16,,,,2.0,38.0,2020-10-08 08:49:03,0.3.0,8.0,1.0,1.0,Rust wrapper for the Alpino tokenizer.,,7,False,3,,,,,
83,seqalign,danieldk/seqalign,nlp,https://github.com/danieldk/seqalign,https://github.com/danieldk/seqalign,Apache-2.0,2018-03-06 14:46:35,2021-03-09 04:52:23,2020-05-11 12:21:23,,2.0,1.0,,41.0,,,,,,Sequence alignments.,,7,False,3,,,,,
84,prophet,robbepop/prophet,ml-frameworks,https://github.com/Robbepop/prophet,https://github.com/Robbepop/prophet,,2016-09-04 16:28:38,2019-07-31 09:45:36,2018-05-25 09:44:58,1.0,4.0,4.0,39.0,151.0,,,,,,A simple neural net implementation.,2.0,6,False,3,,,,,
85,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,1.0,,15.0,14.0,73.0,,,,,,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,6,False,3,,,,,
86,fann-rs,afck/fann-rs,ml-frameworks,https://github.com/afck/fann-rs,https://github.com/afck/fann-rs,LGPL-3.0,2015-06-26 15:59:52,2018-10-19 20:53:06,2018-10-19 20:52:44,,,1.0,11.0,57.0,,,,,,Rust wrapper for the Fast Artificial Neural Network library.,,6,False,3,,,,,
87,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2021-04-05 05:01:33,2021-04-05 05:01:33,1.0,,,9.0,38.0,,,,,,Type conversion among popular Rust computer vision libraries.,2.0,6,False,3,,,,,
88,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,Apache-2.0,2020-09-15 19:11:01,2020-10-13 06:57:55,2020-10-13 06:56:21,1.0,,,9.0,7.0,,,,,,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,,6,False,3,,,,,True
89,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,Apache-2.0,2020-03-20 22:06:11,2021-01-05 18:00:08,2021-01-05 18:00:06,,1.0,,3.0,47.0,,,,,,Rust middleware for serving deep learning models with batched prediction.,2.0,6,False,3,,,,,
90,srx,bminixhofer/srx,nlp,https://github.com/bminixhofer/srx,https://github.com/bminixhofer/srx,,2021-02-03 11:09:47,2021-03-27 11:41:03,2021-03-27 11:38:49,2.0,1.0,2.0,3.0,16.0,2021-03-27 11:41:03,0.1.3,,,1.0,A mostly compliant Rust implementation of the Segmentation Rules eXchange (SRX) 2.0 standard for text segmentation.,3.0,6,False,3,,,,,True
91,reductive,finalfusion/reductive,ml-frameworks,https://github.com/finalfusion/reductive,https://github.com/finalfusion/reductive,Apache-2.0,2019-09-04 09:48:00,2021-03-29 05:04:50,2021-02-21 16:25:41,,1.0,2.0,,62.0,,,,,,Vector quantization.,2.0,6,False,3,,,,,
92,cntk-rs,usamec/cntk-rs,ml-frameworks,https://github.com/usamec/cntk-rs,https://github.com/usamec/cntk-rs,,2017-10-29 16:32:42,2018-03-04 12:55:18,2018-03-04 12:55:13,,1.0,1.0,20.0,41.0,,,,,,Wrapper around Microsoft CNTK library.,,5,False,3,,,,,
93,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,,,1.0,11.0,19.0,,,,,,Rust wrapper for the BlingFire tokenization library.,2.0,5,False,3,,,,,
94,rustberta-snli,allenai/rustberta-snli,nlp,https://github.com/allenai/rustberta-snli,https://github.com/allenai/rustberta-snli,,2020-10-09 22:53:16,2021-03-29 09:27:38,2021-01-05 17:19:37,,,,11.0,46.0,,,,,,A Rust implementation of a RoBERTa classification model for the SNLI dataset.,2.0,5,False,3,,,,,
95,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,1.0,12.0,,,,,,A Rust library for object detection via SSD MobileNet.,,5,False,3,,,,,
96,ohnomore,danieldk/ohnomore,nlp,https://github.com/danieldk/ohnomore,https://github.com/danieldk/ohnomore,,2017-12-08 13:25:51,2021-02-19 04:55:30,2021-02-09 14:35:35,,3.0,,,92.0,,,,,,Explorations in lemmatization.,3.0,5,False,3,,,,,
97,wordpieces,danieldk/wordpieces,nlp,https://github.com/danieldk/wordpieces,https://github.com/danieldk/wordpieces,,2019-11-22 10:36:17,2021-02-05 08:15:14,2021-02-05 08:14:28,,,,1.0,27.0,,,,,,Split tokens into word pieces.,2.0,4,False,3,,,,,
98,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,,2020-04-15 09:07:39,2020-07-13 08:52:05,2020-07-13 08:52:00,,1.0,,5.0,16.0,,,,,,A rustic language tokenizer library inspired by huggingface's tokenizers.,2.0,3,False,3,,,,,
99,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,,27.0,,,,,,Take correctly spelled words and return common spelling mistakes.,2.0,3,False,3,,,,,
