,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
116,tch-serde,jerry73204/tch-serde,data-loading,https://github.com/jerry73204/tch-serde,https://github.com/jerry73204/tch-serde,MIT,2020-07-21 21:04:15,2021-06-26 02:51:49,2021-06-26 02:51:24,3.0,,,4.0,35.0,Serialize/Deserialize tch-rs types with serde.,,,3.0,8,False,3,,,,,,,,
117,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-07-13 04:50:15,2020-10-08 09:13:16,,,,3.0,38.0,Rust wrapper for the Alpino tokenizer.,,,,8,False,3,,2020-10-08 08:49:03,0.3.0,14.0,1.0,1.0,,
118,rstats,liborty/rstats,ml-frameworks,https://github.com/liborty/rstats,https://github.com/liborty/rstats,Apache-2.0,2020-08-30 04:06:51,2021-07-22 12:57:04,2021-07-22 12:56:45,,,,2.0,261.0,Rust Statistics and Vector Algebra Library.,,,,8,False,3,,,,,,,,
119,eval-metrics,benjarison/eval-metrics,interpret,https://github.com/benjarison/eval-metrics,https://github.com/benjarison/eval-metrics,,2020-05-21 04:00:07,2021-08-25 22:10:31,2021-08-25 21:21:45,,,,2.0,70.0,Evaluation metrics for machine learning.,,,,8,False,1,,2021-08-25 22:10:31,0.1.1,,,2.0,2.0,
120,deduplicate-text-datasets,google-research/deduplicate-text-datasets,nlp,https://github.com/google-research/deduplicate-text-datasets,https://github.com/google-research/deduplicate-text-datasets,Apache-2.0,2021-07-16 00:24:25,2021-07-28 14:57:01,2021-07-28 14:57:01,10.0,2.0,1.0,185.0,8.0,,,,2.0,7,False,3,,,,,,,,
121,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-09-03 15:54:35,2021-09-03 15:54:32,4.0,,5.0,123.0,,Machine Learning Library for Rust.,,,3.0,7,False,3,,,,,,,,
122,gamma,metamolecular/gamma,ml-frameworks,https://github.com/metamolecular/gamma,https://github.com/metamolecular/gamma,,2020-02-14 14:48:02,2021-01-25 18:43:42,2021-01-25 18:42:39,4.0,,6.0,108.0,50.0,A graph library for Rust.,,,3.0,7,False,3,,,,,,,,
123,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-09-15 16:57:28,2021-08-22 06:16:23,7.0,1.0,1.0,100.0,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",,,9.0,7,False,3,,,,,,,,
124,word2vec-rs,mklf/word2vec-rs,nlp,https://github.com/mklf/word2vec-rs,https://github.com/mklf/word2vec-rs,,2016-11-11 16:06:12,2021-08-31 18:13:59,2021-08-31 06:02:55,9.0,1.0,,30.0,20.0,pure rust implemention of word2vec.,,,4.0,7,False,3,,,,,,,,
125,treebender,vgel/treebender,nlp,https://github.com/vgel/treebender,https://github.com/vgel/treebender,MIT,2020-10-18 21:34:55,2021-06-26 02:28:00,2021-06-26 02:27:47,,2.0,,20.0,47.0,A HDPSG-inspired symbolic natural language parser written in Rust.,,,,7,False,3,,,,,,,,
126,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-04-24 07:26:33,2021-01-27 09:27:30,,,8.0,16.0,144.0,Rust binding to crfsuite.,,,,7,False,3,,,,,,,,
127,h2o-kubernetes,h2oai/h2o-kubernetes,mlops,https://github.com/h2oai/h2o-kubernetes,https://github.com/h2oai/h2o-kubernetes,Apache-2.0,2020-08-04 16:47:37,2021-02-24 19:02:26,2021-02-09 11:49:12,3.0,5.0,10.0,13.0,69.0,H2O Open Source Kubernetes operator and a command-line tool to ease deployment (and undeployment) of H2O open-source..,,,4.0,7,False,1,,2021-02-09 11:05:13,operator-0.1.0,19.0,2.0,1.0,,
128,craftml-rs,tomtung/craftml-rs,ml-frameworks,https://github.com/tomtung/craftml-rs,https://github.com/tomtung/craftml-rs,MIT,2018-10-05 15:05:19,2019-03-19 03:46:15,2019-03-19 03:46:03,2.0,,2.0,12.0,26.0,"A Rust implementation of CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning.",,,,7,False,3,,,,,,,,
129,lumberjack,sebpuetz/lumberjack,nlp,https://github.com/sebpuetz/lumberjack,https://github.com/sebpuetz/lumberjack,Apache-2.0,2019-03-27 14:31:59,2020-05-05 12:29:29,2019-08-28 14:04:12,2.0,1.0,6.0,11.0,71.0,Read and modify constituency trees in Rust.,,,2.0,7,False,3,,2019-05-27 12:20:25,0.3,,,2.0,,
130,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,10.0,72.0,Differentiable Rust Graphs (neural network library).,,,,7,False,3,,,,,,,,
131,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,https://github.com/lerouxrgd/ngt-rs,https://github.com/lerouxrgd/ngt-rs,Apache-2.0,2020-04-26 21:45:05,2021-04-15 21:51:34,2021-04-15 21:45:55,1.0,,1.0,10.0,29.0,Rust wrappers for NGT approximate nearest neighbor search.,,,,7,False,3,,,,,,,,['binding']
132,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,Apache-2.0,2020-09-15 19:11:01,2021-07-19 17:50:07,2021-07-19 17:49:44,2.0,,,9.0,8.0,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,,,,7,False,3,,,,,,,,
133,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,,2020-01-22 15:30:22,2021-07-11 08:32:18,2021-07-11 08:28:03,1.0,,2.0,6.0,,Rust binding for the sentencepiece library.,,,2.0,7,False,3,,2021-06-17 18:18:19,0.7.1,,,4.0,,
134,hwt,rust-cv/hwt,ml-frameworks,https://github.com/rust-cv/hwt,https://github.com/rust-cv/hwt,MIT,2019-02-20 23:09:30,2019-05-03 19:19:07,2019-05-03 19:18:47,,4.0,5.0,6.0,147.0,Hamming Weight Tree from the paper Online Nearest Neighbor Search in Hamming Space.,,,,7,False,3,,,,,,,,
135,awabi,nakagami/awabi,nlp,https://github.com/nakagami/awabi,https://github.com/nakagami/awabi,MIT,2020-03-12 23:10:27,2021-06-12 03:11:06,2021-06-12 03:10:44,,,,6.0,53.0,A morphological analyzer using mecab dictionary.,,,,7,False,3,,,,,,,,
136,petal-clustering,petabi/petal-clustering,ml-frameworks,https://github.com/petabi/petal-clustering,https://github.com/petabi/petal-clustering,Apache-2.0,2019-06-06 18:31:20,2021-09-02 22:57:48,2021-07-29 19:02:05,1.0,3.0,2.0,6.0,,DBSCAN and OPTICS clustering algorithms.,,,3.0,7,False,3,,,,,,,,
137,liblinear-rs,shademe/liblinear-rs,ml-frameworks,https://github.com/shadeMe/liblinear-rs,https://github.com/shadeMe/liblinear-rs,MIT,2018-10-02 11:55:10,2019-10-24 15:18:19,2019-10-24 15:17:49,1.0,,2.0,5.0,39.0,Rust language bindings for the LIBLINEAR C/C++ library.,,,,7,False,3,,,,,,,,['binding']
138,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,MIT,2020-08-22 03:59:58,2021-04-05 19:44:07,2021-04-05 19:44:07,,,,3.0,57.0,Common stop words in a variety of languages.,,,,7,False,3,,,,,,,,
139,NewsAggregator,EngineersBox/NewsAggregator,data-loading,https://github.com/EngineersBox/NewsAggregator,https://github.com/EngineersBox/NewsAggregator,Apache-2.0,2021-02-28 09:18:55,2021-09-15 08:07:27,2021-08-24 11:06:00,3.0,,,1.0,,"A fast, searchable news article aggregation service using various machine learning models to aggregate based on..",,,3.0,7,False,3,,,,,,,,
140,rustfst,Garvys/rustfst,nlp,https://github.com/Garvys/rustfst,https://github.com/Garvys/rustfst,,2018-09-13 21:21:45,2021-06-24 15:54:19,2021-06-24 15:54:00,6.0,11.0,15.0,75.0,,"Rust re-implementation of OpenFST - library for constructing, combining, optimizing, and searching weighted finite-..",,,8.0,6,False,3,,2020-02-04 13:53:05,rustfst-v0.5.0,,,1.0,,
141,prophet,robbepop/prophet,ml-frameworks,https://github.com/Robbepop/prophet,https://github.com/Robbepop/prophet,,2016-09-04 16:28:38,2019-07-31 09:45:36,2018-05-25 09:44:58,1.0,4.0,4.0,40.0,151.0,A simple neural net implementation.,,,2.0,6,False,3,,,,,,,,
142,cogent,JonathanWoollett-Light/cogent,ml-frameworks,https://github.com/JonathanWoollett-Light/cogent,https://github.com/JonathanWoollett-Light/cogent,,2019-09-30 01:15:30,2021-03-26 15:47:16,2021-03-26 15:47:16,2.0,,,28.0,354.0,Simple neural network library for classification written in Rust.,,,2.0,6,False,3,,,,,,,,
143,vpsearch,kornelski/vpsearch,ml-frameworks,https://github.com/kornelski/vpsearch,https://github.com/kornelski/vpsearch,,2015-06-06 13:05:10,2020-10-16 10:38:47,2020-10-16 10:38:46,5.0,2.0,2.0,27.0,63.0,C library for finding nearest (most similar) element in a set.,,,2.0,6,False,3,,,,,,,,
144,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,2.0,,15.0,17.0,73.0,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,,,6,False,3,,,,,,,,
145,fann-rs,afck/fann-rs,ml-frameworks,https://github.com/afck/fann-rs,https://github.com/afck/fann-rs,LGPL-3.0,2015-06-26 15:59:52,2018-10-19 20:53:06,2018-10-19 20:52:44,,,1.0,11.0,57.0,Rust wrapper for the Fast Artificial Neural Network library.,,,,6,False,3,,,,,,,,
146,bayespam,zenoxygen/bayespam,ml-frameworks,https://github.com/zenoxygen/bayespam,https://github.com/zenoxygen/bayespam,MIT,2019-10-27 05:53:16,2020-12-24 00:31:37,2020-12-24 00:31:24,1.0,,1.0,5.0,45.0,A simple bayesian spam classifier written in Rust.,,,2.0,6,False,3,,,,,,,,
147,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,Apache-2.0,2020-03-20 22:06:11,2021-05-03 17:08:53,2021-05-03 17:08:49,,1.0,,4.0,50.0,Rust middleware for serving deep learning models with batched prediction.,,,2.0,6,False,3,,,,,,,,
148,reductive,finalfusion/reductive,ml-frameworks,https://github.com/finalfusion/reductive,https://github.com/finalfusion/reductive,Apache-2.0,2019-09-04 09:48:00,2021-07-27 12:47:28,2021-07-18 15:12:33,1.0,1.0,2.0,2.0,70.0,Vector quantization.,,,2.0,6,False,3,,,,,,,,
149,rust-hf-hub-loader,philschmid/rust-hf-hub-loader,ml-frameworks,https://github.com/philschmid/rust-hf-hub-loader,https://github.com/philschmid/rust-hf-hub-loader,Apache-2.0,2021-07-15 12:43:09,2021-09-10 19:33:42,2021-09-10 19:23:15,,,,2.0,,,,,,6,False,3,,2021-09-10 19:33:42,0.2,13.0,13.0,2.0,2.0,
150,mushin,c0dearm/mushin,ml-frameworks,https://github.com/c0dearm/mushin,https://github.com/c0dearm/mushin,,2021-04-07 13:51:02,2021-04-12 10:19:52,2021-04-12 10:19:48,7.0,,,193.0,,Compile-time creation of neural networks.,,,2.0,5,False,3,,,,,,,,
151,cntk-rs,usamec/cntk-rs,ml-frameworks,https://github.com/usamec/cntk-rs,https://github.com/usamec/cntk-rs,,2017-10-29 16:32:42,2018-03-04 12:55:18,2018-03-04 12:55:13,,1.0,1.0,20.0,41.0,Wrapper around Microsoft CNTK library.,,,,5,False,3,,,,,,,,
152,REnforce,NivenT/REnforce,ml-frameworks,https://github.com/NivenT/REnforce,https://github.com/NivenT/REnforce,,2016-09-27 06:29:15,2017-08-03 08:09:34,2017-08-03 08:09:34,2.0,5.0,,17.0,114.0,Reinforcement learning library written in Rust.,,,,5,False,3,,,,,,,,
153,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,,,1.0,12.0,19.0,Rust wrapper for the BlingFire tokenization library.,,,2.0,5,False,3,,,,,,,,
154,rustberta-snli,allenai/rustberta-snli,nlp,https://github.com/allenai/rustberta-snli,https://github.com/allenai/rustberta-snli,,2020-10-09 22:53:16,2021-09-13 08:05:10,2021-01-05 17:19:37,1.0,,,12.0,46.0,A Rust implementation of a RoBERTa classification model for the SNLI dataset.,,,2.0,5,False,3,,,,,,,,
155,srx,bminixhofer/srx,nlp,https://github.com/bminixhofer/srx,https://github.com/bminixhofer/srx,,2021-02-03 11:09:47,2021-03-27 11:41:03,2021-03-27 11:38:49,2.0,1.0,2.0,4.0,16.0,A mostly compliant Rust implementation of the Segmentation Rules eXchange (SRX) 2.0 standard for text segmentation.,,,3.0,5,False,3,,2021-03-27 11:41:03,0.1.3,,,1.0,,
156,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,2.0,12.0,A Rust library for object detection via SSD MobileNet.,,,,5,False,3,,,,,,,,
157,seqalign,danieldk/seqalign,nlp,https://github.com/danieldk/seqalign,https://github.com/danieldk/seqalign,Apache-2.0,2018-03-06 14:46:35,2021-05-14 09:49:40,2021-05-14 09:49:37,,2.0,1.0,1.0,42.0,Sequence alignments.,,,2.0,5,False,3,,,,,,,,
158,ohnomore,danieldk/ohnomore,nlp,https://github.com/danieldk/ohnomore,https://github.com/danieldk/ohnomore,,2017-12-08 13:25:51,2021-07-12 18:32:55,2021-07-12 18:32:11,,3.0,,,100.0,Explorations in lemmatization.,,,3.0,5,False,3,,,,,,,,
159,rust-tfidf,ferristseng/rust-tfidf,nlp,https://github.com/ferristseng/rust-tfidf,https://github.com/ferristseng/rust-tfidf,,2015-04-14 01:59:21,2021-05-18 23:20:33,2021-05-18 23:20:31,2.0,2.0,2.0,10.0,25.0,,,,3.0,4,False,3,,,,,,,,
160,wordpieces,danieldk/wordpieces,nlp,https://github.com/danieldk/wordpieces,https://github.com/danieldk/wordpieces,,2019-11-22 10:36:17,2021-07-06 09:12:33,2021-07-06 09:12:16,,,,1.0,29.0,Split tokens into word pieces.,,,2.0,4,False,3,,,,,,,,
161,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,,2020-04-15 09:07:39,2020-07-13 08:52:05,2020-07-13 08:52:00,,1.0,,5.0,16.0,A rustic language tokenizer library inspired by huggingface's tokenizers.,,,2.0,3,False,3,,,,,,,,
162,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,,27.0,Take correctly spelled words and return common spelling mistakes.,,,2.0,3,False,3,,,,,,,,
